ipg	ipg_accession	ipg_name	protein
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCW0332423.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_034047652.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU3705459.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU3708225.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU3788305.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU3793215.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2924288.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2928639.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO3607635.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO3612259.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9266459.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9271598.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9339423.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9344925.1
543230689	HCA7599735.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCA7599735.1
572040809	HCJ7660347.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCJ7660347.1
572040809	HCJ7660347.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCJ7663399.1
152321878	WP_088171164.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP5019482.1
152321878	WP_088171164.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_088171164.1
152321878	WP_088171164.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP5022123.1
67450018	WP_033949287.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HDQ4071938.1
67450018	WP_033949287.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_033949287.1
67450018	WP_033949287.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCD9059396.1
67450018	WP_033949287.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCD9065308.1
171745824	WP_100882964.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_100882964.1
518957847	HBO2916068.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCR1628386.1
518957847	HBO2916068.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2916068.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCW0959310.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_114230457.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU1323603.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU1325563.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN9820160.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN9822729.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO0990111.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO0992745.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP5711879.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP5713611.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6835838.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6837355.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE7316320.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE7319282.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0949579.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0951671.1
560207479	HCF4207081.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF4207081.1
560207479	HCF4207081.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF4205493.1
120249507	WP_070338232.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_070338232.1
377548379	WP_196332027.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_196332027.1
574460725	HCK0408830.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCK0408830.1
574460725	HCK0408830.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCK0411218.1
580419741	EJU9618544.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EJU9618544.1
580414356	EJU9309426.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EJU9309426.1
531233785	WP_241346768.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_241346768.1
570034821	WP_256713382.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCR1327901.1
570034821	WP_256713382.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_256713382.1
519602308	HBO7267931.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO7267931.1
543242929	HCA7982241.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCA7982241.1
543242929	HCA7982241.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCA7982242.1
631026562	NA	NA	HDL6380430.1
592670965	NA	NA	EKB4214527.1
560814596	HCF9708492.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF9708492.1
326253757	WP_171892704.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCR1193337.1
326253757	WP_171892704.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_171892704.1
326253757	WP_171892704.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP1177698.1
326253757	WP_171892704.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP1180687.1
326253757	WP_171892704.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6057339.1
326253757	WP_171892704.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6060844.1
376769043	WP_196187051.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_196187051.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3907302.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_094776403.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2725351.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2729529.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2929971.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2934850.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO9226065.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO9230388.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6031840.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6035743.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF3106487.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF3107541.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF4407061.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF4407999.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3902006.1
519778212	WP_256875614.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126	HCE9897510.1
519778212	WP_256875614.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126	HBP5283880.1
519778212	WP_256875614.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126	HBP5287068.1
519778212	WP_256875614.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126	HCE9898717.1
519778212	WP_256875614.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126	HCF5369524.1
519778212	WP_256875614.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126	HCF5370467.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCP6191633.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_009877300.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO6146763.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO6149003.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP0106814.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP0109085.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCW0957299.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_114230457.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU1323603.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU1325563.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN9820160.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN9822729.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO0990111.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO0992745.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP5711879.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP5713611.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6835838.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6837355.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE7316320.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE7319282.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0949579.1
197484260	WP_114230457.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0951671.1
519639548	HBO9765399.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO9765399.1
519635724	HBO8870226.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO8870226.1
519587607	HBO5988376.1	class D beta-lactamase	HBO5988376.1
219895240	WP_124182437.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF3654492.1
219895240	WP_124182437.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_124182437.1
219895240	WP_124182437.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF3656779.1
241938762	WP_134630205.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_134630205.1
330574887	WP_174706336.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP6026860.1
330574887	WP_174706336.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_174706336.1
330574887	WP_174706336.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP6028519.1
519415955	HBO3384867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO3384867.1
519415955	HBO3384867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO3389180.1
561313666	HCH0455966.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCH0455966.1
561313666	HCH0455966.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCH0457312.1
133429548	WP_073667184.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_073667184.1
580419463	EJU9591717.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EJU9591717.1
560833282	HCG0797661.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0797661.1
560833282	HCG0797661.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0802554.1
67484808	WP_033984473.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_033984473.1
67484808	WP_033984473.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO1698131.1
67484808	WP_033984473.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO1700590.1
67484808	WP_033984473.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2023476.1
67484808	WP_033984473.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2028684.1
67484808	WP_033984473.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP1887216.1
67484808	WP_033984473.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP1890906.1
241942770	WP_134631668.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_134631668.1
589931187	NA	NA	HCR1419274.1
559120369	HCE3946559.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE3946559.1
559120369	HCE3946559.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE3946565.1
259336754	WP_142547966.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_142547966.1
259336754	WP_142547966.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF5836210.1
259336754	WP_142547966.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF5840437.1
519540655	HBO3973883.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO3973883.1
519540655	HBO3973883.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO3968530.1
518505861	HBN8094969.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN8094969.1
518505861	HBN8094969.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN8098565.1
518505861	HBN8094969.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN9235493.1
518505861	HBN8094969.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN9238880.1
518505861	HBN8094969.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF1656130.1
518505861	HBN8094969.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF1662052.1
519548238	HBO4228394.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCR1315478.1
519548238	HBO4228394.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO4228394.1
560051648	HCE6914994.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6914994.1
560820010	HCG0358105.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0358105.1
226351436	WP_128684804.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_128684804.1
519665786	HCE7892118.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE7892118.1
519665786	HCE7892118.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP1072082.1
519665786	HCE7892118.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP1072088.1
377933185	WP_196746761.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP6747005.1
377933185	WP_196746761.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_196746761.1
377933185	WP_196746761.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP6750356.1
67596607	WP_034072939.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_034072939.1
67596607	WP_034072939.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN8364457.1
67596607	WP_034072939.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN8366012.1
98906446	WP_058199927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_058199927.1
589928150	NA	NA	HCR1509020.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCW0569875.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_124213927.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN8562643.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN8564023.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP1420172.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP1422219.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP6755970.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP6756914.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0943896.1
219933572	WP_124213927.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCG0945622.1
301461656	WP_162963726.1	class D beta-lactamase	WP_162963726.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HDR3109795.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_094776403.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2725351.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2729529.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2929971.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2934850.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO9226065.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO9230388.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6031840.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE6035743.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF3106487.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF3107541.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF4407061.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF4407999.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3902006.1
156109323	WP_094776403.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3907302.1
279281098	WP_153655606.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF7333744.1
279281098	WP_153655606.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_153655606.1
279281098	WP_153655606.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF7331660.1
586817874	WP_264971155.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_264971155.1
518957384	HBO2909447.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2909447.1
589930244	NA	NA	HCR1833700.1
646311416	NA	NA	HDQ8033941.1
518552358	HBO1234406.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO1234406.1
518552358	HBO1234406.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO1236629.1
98865154	WP_058151994.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_058151994.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCW0618291.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_034047652.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU3705459.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU3708225.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU3788305.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU3793215.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2924288.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO2928639.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO3607635.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO3612259.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9266459.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9271598.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9339423.1
3381347	WP_034047652.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9344925.1
241932669	WP_134624050.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_134624050.1
560143100	HCE9370791.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9370791.1
560143100	HCE9370791.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE9365944.1
133435957	WP_073673759.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_073673759.1
519616213	HBO6903045.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO6903045.1
587357451	NA	NA	HCP6225517.1
588525621	WP_263889039.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_263889039.1
301261995	WP_162951782.1	class D beta-lactamase	WP_162951782.1
519738258	EIU7184456.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU7184456.1
589922919	NA	NA	HCR1196950.1
226367290	WP_126869902.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO5743250.1
226367290	WP_126869902.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_126869902.1
226367290	WP_126869902.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO5742060.1
103295105	WP_061180638.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_061180638.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCP6186388.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_009877300.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO6146763.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO6149003.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP0106814.1
5724753	WP_009877300.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP0109085.1
519567360	HBO4873158.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO4873158.1
519567360	HBO4873158.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO4877817.1
30322052	WP_003125977.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO8939735.1
219891700	WP_133457849.1	class D beta-lactamase	WP_133457849.1
71530375	WP_039027005.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_039027005.1
301407694	WP_162963553.1	penicillin-binding transpeptidase domain-containing protein	WP_162963553.1
219800000	WP_126558944.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_126558944.1
577505840	HCL4160085.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL4160085.1
371951015	WP_194355408.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF9853890.1
371951015	WP_194355408.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_194355408.1
371951015	WP_194355408.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP5448406.1
371951015	WP_194355408.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBP5449528.1
371951015	WP_194355408.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF9853070.1
566404212	HCI1683291.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCI1683291.1
519597574	HBO6530412.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBO6530412.1
601052958	NA	NA	HCW1097048.1
577453677	HCL3483026.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3483026.1
577453677	HCL3483026.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3479038.1
241935110	WP_134626412.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_134626412.1
518513310	EIU1440509.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	EIU1440509.1
518517859	HBN8947176.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN8947176.1
518517859	HBN8947176.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN8944096.1
518520215	HBN9412967.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HBN9412967.1
345553254	WP_181263097.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_181263097.1
214486107	WP_121388313.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_121388313.1
560569404	HCF7101507.1	class D beta-lactamase	HCF7101507.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCT4761776.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	WP_034015617.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE7954469.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCE7957979.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF2829403.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF2833103.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF6144817.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCF6145883.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3747268.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3752108.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3884052.1
3381322	WP_034015617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	HCL3888482.1
